15/06/2020 11:46:44, AREA: OFFICEAREA, 76_23_75_
15/06/2020 11:47:56, AREA: OFFICEAREA, 76_20_
15/06/2020 11:50:06, OFFICEAREA, 76_4_74_
15/06/2020 11:59:43, OFFICEAREA, 76_1_
15/06/2020 12:01:01, OFFICEAREA, 76_23_75_
15/06/2020 12:01:58, OFFICEAREA, 76_1_
15/06/2020 12:03:19, OFFICEAREA, 76_4_74_
15/06/2020 13:07:23, OFFICEAREA, 76_1_
15/06/2020 14:54:56, OFFICEAREA, 76_23_75_
15/06/2020 14:55:19, OFFICEAREA, 76_2_3_
15/06/2020 15:03:54, OFFICEAREA, 76_23_75_
15/06/2020 15:06:04, OFFICEAREA, 76_2_3_
15/06/2020 15:09:23, OFFICEAREA, 76_1_
15/06/2020 15:11:38, OFFICEAREA, 76_2_3_
15/06/2020 15:12:45, OFFICEAREA, 76_23_75_
15/06/2020 15:15:34, OFFICEAREA, 76_20_
15/06/2020 15:18:57, OFFICEAREA, 76_1_
15/06/2020 15:19:38, LANDING, 76_1_7_14_13_11_12_16_6_
15/06/2020 15:27:27, OFFICEAREA, 76_20_
15/06/2020 15:27:49, OFFICEAREA, 76_4_74_
15/06/2020 15:28:48, OFFICEAREA, 76_23_75_
15/06/2020 15:29:30, LANDING, 76_23_75_7_8_77_83_79_80_
15/06/2020 15:31:01, PUB, 76_23_75_7_8_77_83_79_80_55_32_60_67_66_65_
15/06/2020 15:33:13, OFFICEAREA, 76_20_
15/06/2020 15:33:33, LANDING, 76_20_7_14_13_11_12_16_6_
15/06/2020 15:34:42, PUB, 76_20_7_14_13_11_12_16_6_44_45_47_46_6_
15/06/2020 15:38:25, OFFICEAREA, 76_4_74_
15/06/2020 15:40:05, OFFICEAREA, 76_23_75_
15/06/2020 15:40:28, LANDING, 76_23_75_7_8_77_83_82_81_
15/06/2020 15:41:34, PUB, 76_23_75_7_8_77_83_82_81_55_32_56_57_58_59_31_37_38_70_72_71_
15/06/2020 15:45:11, STREETFINAL, 76_23_75_7_8_77_83_82_81_55_32_56_57_58_59_31_37_38_70_72_71_35_36_17_18_6_
15/06/2020 15:49:46, OFFICEAREA, 76_4_74_
15/06/2020 15:50:22, LANDING, 7_14_13_11_12_16_6_
15/06/2020 15:51:52, PUB, 55_32_60_61_47_46_6_
15/06/2020 15:54:57, STREETFINAL, 25_27_33_
